Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
D1;8.12.2018;SC Freiburg;RB Leipzig;3;0;H;2;0;H;12;15;9;4;9;16;3;12;1;2;0;0;4;4;Oca.83;4.Þub;3.Eyl;1.Aðu;4.Nis;3.May;Oca.85;4.Tem;Mar.89;Oca.91;3.Eyl;3.Aðu;Oca.85;4;4;Oca.87;37;4.Nis;4.Nis;4;Mar.83;Oca.92;Oca.87;35;Oca.76;Oca.71;Þub.22;Þub.13;21;0.5;2.May;Oca.99;Oca.92;Oca.87;Nis.55;Mar.99;Oca.79
D1;8.12.2018;Hertha BSC;Eintracht Frankfurt;1;0;H;1;0;H;7;18;4;4;15;14;5;9;1;0;0;0;Þub.45;3.Mar;2.Eyl;2.Haz;3.Haz;2.Haz;2.Tem;3.Nis;2.Haz;Þub.65;Mar.54;Þub.74;2.Haz;3.Nis;Þub.62;Þub.55;3.May;2.Tem;37;2.Tem;Þub.57;Mar.65;Mar.49;2.Eyl;Þub.69;35;1.Tem;Oca.64;Þub.35;Þub.24;20;0;Oca.95;Oca.89;2.Nis;Oca.97;Þub.66;Mar.63;Þub.68
D1;8.12.2018;Bayer 04 Leverkusen;FC Augsburg;1;0;H;0;0;D;21;13;7;1;11;17;4;2;1;2;0;0;Oca.66;4;5;Oca.65;Nis.33;Nis.75;Oca.65;4.Oca;5;Oca.71;4.Mar;Nis.72;Oca.67;4.Þub;4.May;1.Tem;Nis.33;4.Haz;37;Oca.71;Oca.67;Nis.45;Nis.22;5;Nis.71;33;Oca.59;Oca.52;Þub.65;Þub.48;23;-1;2.Þub;Þub.13;Oca.82;Oca.75;Oca.76;4.Oca;Nis.73
D1;8.12.2018;FC Schalke 04 04;Borussia Dortmund;1;2;A;0;1;A;6;10;3;3;12;9;3;1;4;3;0;0;3.Mar;3.Nis;2.Þub;3.Nis;3.Nis;Þub.15;3.Mar;3.Nis;2.Þub;Mar.42;Mar.49;Þub.24;3.Mar;3.Nis;Þub.15;3.Mar;3.Haz;2.Þub;37;Mar.45;Mar.34;3.Haz;Mar.48;Þub.25;Þub.18;35;1.Aðu;Oca.72;2.Þub;2.Ara;21;0.25;2.Þub;Oca.97;Oca.93;Oca.89;Mar.26;3.Haz;Þub.27
D1;8.12.2018;VfL Wolfsburg;TSG 1899 Hoffenheim;2;2;D;2;1;H;10;19;3;6;9;9;6;4;1;2;0;0;3;3.Haz;2.Mar;3;3.May;2.Mar;2.Eyl;3.Nis;2.Nis;3.Nis;Mar.81;Þub.31;2.Eyl;3.Tem;Þub.25;2.Eyl;3.Tem;2.Mar;36;3.Oca;Þub.97;Mar.81;Mar.66;2.Nis;Þub.29;32;Oca.56;Oca.52;Þub.65;2.May;20;0.25;Oca.91;Oca.88;2.Mar;Oca.98;3.Eyl;Mar.85;Þub.26
D1;9.12.2018;1. FSV Mainz 05;Hannover 96;1;1;D;0;1;A;28;11;5;3;12;9;9;1;4;3;0;1;1.Eyl;3.Haz;4;Oca.91;3.Haz;4;2;3.May;3.Tem;Oca.99;Mar.51;Nis.16;Oca.91;3.May;4;Oca.95;3.Tem;3.Aðu;37;2.Oca;Oca.96;3.Tem;Mar.54;Nis.16;Mar.93;35;Oca.86;1.Aðu;2.Oca;2;20;-0.75;Þub.31;Þub.25;Oca.72;Oca.68;Oca.92;Mar.63;Nis.35
D1;9.12.2018;Borussia Mönchengladbach;VfB Stuttgart;3;0;H;0;0;D;23;7;7;2;7;12;7;4;2;4;0;1;Oca.44;Nis.33;7;1.May;Nis.33;6.May;Oca.45;4.May;7;Oca.51;Nis.42;Haz.96;Oca.47;Nis.33;6.May;1.May;4.May;6.May;37;Oca.54;Oca.49;4.Tem;Nis.42;Tem.27;Haz.65;33;Oca.61;Oca.56;Þub.55;Þub.41;23;-1;Oca.85;Oca.79;2.Ara;2.Tem;1.Haz;Nis.39;May.62
D1;14.12.2018;1. FC Nürnberg;VfL Wolfsburg;0;2;A;0;0;D;11;10;0;4;13;13;6;3;2;1;0;0;3.Haz;3.May;2.Nis;3.Haz;3.Nis;2.Oca;3.Nis;3.Nis;Þub.15;Mar.76;Mar.51;2.Oca;3.Haz;3.Nis;2.May;3.Haz;3.May;2.Oca;36;3.Eyl;Mar.64;Mar.59;Mar.44;Þub.15;2.Eyl;34;2.May;Oca.96;Oca.96;Oca.85;21;0.5;Oca.85;Oca.79;Þub.15;2.Aðu;Mar.72;Mar.53;2.Kas
D1;15.12.2018;FC Augsburg;FC Schalke 04 04;1;1;D;1;0;H;17;15;9;5;17;8;6;7;2;1;0;0;2.May;Mar.25;2.Eyl;Þub.55;3.Mar;2.Aðu;Þub.65;3.Nis;Þub.65;Þub.57;Mar.41;Þub.92;2.May;3.Mar;2.Aðu;Þub.55;3.Mar;Þub.88;36;Þub.65;Þub.53;Mar.45;Mar.32;Þub.93;Þub.84;34;2.Oca;Oca.94;Oca.95;Oca.86;21;-0.25;Þub.23;Þub.17;Oca.77;Oca.73;Þub.69;Mar.42;Þub.77
D1;15.12.2018;Borussia Dortmund;SV Werder Bremen;2;1;H;2;1;H;16;9;9;5;11;14;4;10;1;4;0;0;Oca.36;May.25;8;Oca.42;Nis.75;Tem.25;1.Nis;4.Aðu;7.Haz;Oca.39;May.42;Tem.85;Oca.36;May.25;7.May;1.Nis;May.25;7.May;36;Oca.43;Oca.39;5.May;5.Ara;8.Þub;Tem.49;30;Oca.44;Oca.39;3.Oca;Þub.91;23;-1.5;2.Haz;2.Oca;1.Eyl;Oca.84;Oca.38;May.34;Aðu.37
