Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
P1;28.10.2018;FC Porto;CD Feirense;2;0;H;1;0;H;17;6;7;3;21;11;4;6;1;3;0;0;Oca.14;7.May;17;1.Ara;8;20;Oca.15;7;15;1.Ara;Eyl.35;24.Mar;1.Oca;9;26;1.Oca;9;34;37;Oca.15;1.Kas;Eyl.75;8.Mar;34;22.81;33;1.May;Oca.46;Þub.75;Þub.61;18;-2.5;2.Ara;2.Haz;Oca.83;Oca.77;Oca.13;Eyl.38;22.May
P1;28.10.2018;Sporting CP;Boavista FC;3;0;H;1;0;H;21;10;9;1;12;13;9;4;2;3;0;0;1.Mar;May.25;9.May;1.Mar;May.25;Aðu.75;Oca.35;4.Haz;8.Þub;Oca.33;May.18;Eki.37;Oca.33;5;9;Oca.33;5;10;37;1.Nis;Oca.33;May.25;Nis.89;11;Eyl.31;35;Oca.85;Oca.78;2.Kas;2;18;-1.5;2.Kas;2.May;Oca.83;Oca.78;Oca.35;5.Nis;Eki.83
P1;28.10.2018;CD Tondela;Vitória de Setúbal;1;2;A;0;1;A;10;9;6;3;18;24;7;6;3;3;0;0;2.Mar;3.Oca;3.Þub;Þub.35;3;3.Þub;Þub.35;Þub.95;Mar.15;2.May;Þub.94;Mar.43;2.Nis;3;3.Þub;Þub.38;Mar.13;Mar.25;37;2.May;Þub.37;Mar.15;3;Mar.43;3.Þub;33;Þub.47;Þub.33;Oca.65;Oca.57;17;-0.25;2.Eyl;2.Oca;Oca.88;Oca.82;Þub.76;Þub.99;3.Haz
P1;2.11.2018;SL Benfica;Moreirense FC;1;3;A;1;3;A;21;9;8;4;17;12;8;2;2;3;1;0;Oca.14;7.May;17;Oca.15;7.May;15.May;1.Þub;6;12.May;Oca.16;Aðu.41;18.59;Oca.14;7.May;17;Oca.13;8;23;38;1.Þub;Oca.15;8.May;Tem.55;23;17.87;32;1.May;Oca.46;3;Þub.65;21;-2;1.Aðu;Oca.74;2.Þub;2.Ara;Oca.16;Aðu.62;18.97
P1;3.11.2018;Boavista FC;Vitória Guimarães;0;0;D;0;0;D;7;20;3;4;25;13;7;11;3;4;0;0;2.Aðu;3.Oca;2.Haz;Þub.65;3.Þub;Þub.65;2.Tem;3.Oca;2.Haz;Þub.88;Mar.22;Þub.68;Þub.75;3.Þub;2.Haz;2.Aðu;Mar.13;2.Tem;38;Þub.96;Þub.75;Mar.35;Mar.13;Þub.75;Þub.61;33;2.Nis;Þub.26;Oca.67;Oca.61;18;0;2.May;Oca.97;1.Eyl;Oca.85;Mar.22;Mar.27;Þub.45
P1;3.11.2018;Clube Sport Marítimo;FC Porto;0;2;A;0;0;D;6;15;2;4;16;15;4;11;4;2;1;0;9.May;Nis.75;Oca.33;9;Nis.75;Oca.33;8.Aðu;Nis.45;Oca.35;Eki.35;Nis.68;Oca.37;9;Nis.75;Oca.35;10;Nis.75;Oca.36;37;Eki.35;Eyl.21;4.Eyl;Nis.61;1.Nis;Oca.35;33;2;Oca.89;Oca.95;Oca.88;18;1.May;1.Aðu;Oca.75;Þub.17;2.Eyl;8.Oca;Nis.45;Oca.45
P1;3.11.2018;Portimonense SC;Os Belenenses;1;1;D;0;0;D;12;8;3;1;19;10;1;6;2;3;0;0;2;3.Mar;3.Aðu;2.May;3.Nis;3.May;2;Mar.35;Mar.55;2.Tem;Mar.57;Mar.71;2.May;3.May;3.May;2.May;3.Nis;Mar.75;38;Þub.17;2.Mar;Mar.57;3.Nis;3.Aðu;Mar.57;34;2.May;Oca.96;Oca.91;Oca.82;17;-0.25;Oca.81;Oca.75;Þub.14;2.Aðu;Oca.81;Mar.91;Nis.54
P1;4.11.2018;CD Feirense;CD Tondela;2;4;A;1;1;D;12;15;5;7;17;22;7;5;4;3;0;0;2.Mar;3;3.May;2.Þub;3.Oca;3.Nis;2.Mar;Þub.95;3.Mar;Þub.39;3.Aðu;Mar.48;Þub.35;3.Oca;3.Þub;Þub.38;3.Oca;3.Mar;37;Þub.41;Þub.32;3.Þub;3.Mar;3.May;3.Mar;33;Þub.65;Þub.48;Oca.56;Oca.51;18;-0.25;2.Nis;Oca.98;1.Eyl;Oca.85;Þub.51;Þub.99;Mar.42
P1;4.11.2018;Santa Clara;Sporting CP;1;2;A;1;0;H;8;18;1;7;10;7;3;7;2;3;1;0;6;4;Oca.55;6;4;Oca.53;5.Haz;Mar.85;Oca.55;Haz.31;4.Oca;Oca.59;5.May;4.Þub;Oca.57;Haz.25;4.Oca;Oca.55;37;7.Þub;May.88;4.Þub;Mar.95;1.Haz;Oca.55;34;Oca.95;Oca.87;2;Oca.91;20;1;Oca.98;Oca.85;2.Nis;Oca.98;May.27;Mar.75;Oca.75
P1;4.11.2018;SC Braga;Vitória de Setúbal;2;1;H;2;1;H;17;13;3;5;18;20;2;5;1;3;0;0;1.Nis;Nis.75;7.May;1.Nis;4.Haz;Tem.25;Oca.41;Nis.45;6.Eyl;Oca.42;Nis.68;8.Oca;Oca.42;4.Haz;7;1.Nis;Nis.75;8;37;1.May;Oca.41;Nis.75;4.May;8.Kas;Tem.38;34;Oca.76;1.Tem;2.Þub;2.Kas;20;-1;Oca.75;Oca.67;2.Mar;Þub.21;Oca.45;Nis.41;Aðu.52
