Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
N1;1.03.2019;De Graafschap;ADO Den Haag;1;1;D;0;1;A;14;14;2;3;6;10;8;4;0;2;0;0;Þub.15;3.Haz;3.Oca;2.Þub;3.Haz;3.Oca;Þub.15;3.May;3;Þub.27;Mar.75;3.Eyl;2.Þub;3.May;3;Þub.25;3.Tem;3;34;Þub.35;Þub.23;Mar.77;Mar.61;Mar.15;3.Þub;33;Oca.71;Oca.66;2.Nis;Þub.21;19;-0.25;2.Oca;Oca.95;Oca.93;Oca.89;Þub.23;Mar.74;Mar.17
N1;2.03.2019;Excelsior;PSV;0;2;A;0;1;A;7;18;1;6;5;9;3;7;0;1;0;0;13;7;Oca.18;13.May;7;1.Þub;10.May;6.May;1.Þub;Kas.55;Haz.92;Oca.23;12;7;Oca.18;13;7;1.Þub;34;17;Kas.99;7.Mar;Haz.88;Oca.23;Oca.21;33;Oca.35;1.Mar;Mar.65;Mar.42;21;2;Oca.96;Oca.91;Oca.98;Oca.93;Eki.64;Tem.13;Oca.23
N1;2.03.2019;Heracles Almelo;FC Utrecht;1;5;A;0;1;A;8;16;3;8;12;12;5;4;2;0;1;0;2.Aðu;3.Haz;2.Mar;2.Tem;3.Haz;2.May;Þub.65;Mar.55;Þub.35;Þub.68;3.Aðu;Þub.53;Þub.62;3.Haz;Þub.45;Þub.75;3.Tem;2.Nis;34;2.Aðu;2.Tem;3.Aðu;Mar.63;Þub.53;Þub.44;32;1.Haz;Oca.56;Þub.55;Þub.39;19;0.25;Oca.78;Oca.73;2.Þub;Þub.13;Þub.93;Mar.76;Þub.36
N1;2.03.2019;Vitesse;NAC Breda;4;1;H;0;1;A;21;6;8;4;12;13;11;2;1;3;0;1;Oca.36;5;7.May;Oca.36;5;8.May;Oca.35;Nis.65;7.Eyl;Oca.36;Nis.95;Eyl.57;Oca.33;Nis.75;9;Oca.36;5;8.May;34;Oca.42;Oca.36;5.Mar;Nis.86;Eyl.57;Aðu.61;32;Oca.75;Oca.69;Þub.25;Þub.16;21;-1.5;2.Ara;2.Haz;Oca.85;Oca.79;1.Nis;4.Tem;Aðu.86
N1;3.03.2019;AZ Alkmaar;Fortuna Sittard;4;2;H;1;2;A;21;10;6;6;9;8;9;4;0;1;0;0;Oca.22;7;10;Oca.22;Haz.75;12;Oca.21;6.Nis;10.May;Oca.21;7.Haz;Ara.92;1.Þub;6.May;13;1.Þub;7;13;32;Oca.26;Oca.21;Tem.25;Haz.72;13.May;12.Þub;31;Oca.35;Oca.31;3.Haz;Mar.39;20;-2;Oca.97;Oca.93;Oca.96;Oca.91;Oca.14;Eyl.13;16.49
N1;3.03.2019;Feyenoord;FC Emmen;4;0;H;1;0;H;23;11;11;3;8;13;8;2;0;1;0;0;Oca.16;7.May;13;Oca.18;7.May;14;1.Þub;6.Tem;11.May;1.Þub;7.Ara;14.17;Oca.17;7;15;Oca.18;7;15;32;Oca.22;Oca.19;7.May;7.Tem;15.May;13.Tem;31;Oca.35;Oca.29;Mar.75;Mar.49;20;-2;1.Eyl;Oca.85;2.May;Oca.99;Oca.13;Eyl.43;18.67
N1;3.03.2019;FC Groningen;VVV-Venlo;3;2;H;2;1;H;18;8;7;2;10;14;6;3;2;1;1;1;Oca.61;Mar.75;5.May;Oca.67;3.Eyl;May.25;Oca.63;3.Aðu;Nis.95;Oca.66;Nis.15;May.15;1.Haz;3.Eyl;May.25;Oca.65;3.Eyl;5.Nis;32;Oca.77;Oca.65;Nis.15;Mar.91;5.May;May.13;30;Oca.95;Oca.87;2;Oca.93;20;-1;Þub.23;Þub.15;Oca.76;Oca.73;Oca.64;Mar.97;May.67
N1;3.03.2019;SC Heerenveen;Willem II;4;2;H;3;0;H;11;14;5;5;11;10;10;3;0;1;0;1;1.Aðu;3.Aðu;4;Oca.87;3.Aðu;3.Eyl;Oca.83;3.Tem;Mar.85;Oca.91;Mar.87;Mar.97;Oca.85;3.Tem;3.Eyl;Oca.85;3.Eyl;4;32;Oca.91;Oca.86;Mar.95;3.Aðu;Nis.33;Mar.93;30;1.Tem;Oca.64;Þub.35;Þub.24;18;-0.75;Þub.18;2.Oca;Oca.81;Oca.75;Oca.95;Mar.72;Mar.96
N1;8.03.2019;FC Utrecht;FC Groningen;0;0;D;0;0;D;15;11;3;3;9;10;9;7;1;4;0;0;Oca.75;Mar.75;4.May;1.Aðu;3.Aðu;Nis.33;Oca.75;3.Tem;Nis.25;Oca.79;Mar.99;Nis.46;Oca.73;3.Aðu;Nis.33;Oca.75;3.Eyl;4.Nis;34;1.Aðu;Oca.77;4;Mar.82;Nis.75;Nis.35;33;Oca.81;Oca.76;Þub.15;2.Haz;20;-0.75;2.May;Oca.99;1.Eyl;Oca.85;Oca.81;4.Eyl;4.Þub
N1;9.03.2019;ADO Den Haag;SC Heerenveen;2;3;A;0;1;A;19;16;7;9;10;10;8;4;2;1;0;0;Þub.37;3.Nis;2.Eyl;2.May;3.Haz;2.Tem;2.Nis;3.May;Þub.65;Þub.52;Mar.69;Þub.75;Þub.45;3.May;Þub.62;Þub.45;3.Haz;Þub.75;34;2.Haz;Þub.45;3.Tem;Mar.54;2.Eyl;Þub.69;30;Oca.65;1.Haz;Þub.41;Þub.31;19;-0.25;Þub.23;Þub.13;1.Aðu;Oca.74;Þub.42;Mar.75;Þub.85
N1;9.03.2019;PSV;NAC Breda;2;0;H;1;0;H;20;5;7;0;10;11;8;4;2;0;0;0;1.May;13;26;1.May;14;34;1.Haz;10;25;1.Tem;13.31;33.54;1.Nis;12;36;1.Haz;13;36;33;1.Aðu;1.Haz;14;12.Haz;41;31.95;30;Oca.25;Oca.21;4.Aðu;4.Mar;20;-3;2;Oca.93;Oca.97;Oca.92;1.Ara;10.Oca;18.88
N1;9.03.2019;VVV-Venlo;Excelsior;1;0;H;1;0;H;16;13;6;3;15;13;7;5;3;4;0;0;2;3.Nis;Mar.75;2.May;Mar.75;3.Nis;2;Mar.45;Mar.35;2.Eyl;Mar.63;3.Haz;2;3.May;3.May;2;3.Haz;3.Haz;34;2.Oca;2.May;Mar.75;Mar.54;Mar.75;Mar.46;31;Oca.81;Oca.76;Þub.15;2.Haz;19;-0.25;Oca.85;Oca.78;Þub.16;2.Tem;2.Ara;Mar.63;Mar.52
N1;9.03.2019;Willem II;De Graafschap;3;2;H;2;1;H;18;6;9;2;11;24;9;6;1;4;0;0;Oca.75;4;4.Þub;Oca.85;Mar.75;4.Oca;1.Aðu;Mar.75;Mar.95;Oca.86;Mar.91;Nis.15;1.Aðu;Mar.75;4;1.Aðu;3.Eyl;4.Þub;34;Oca.91;Oca.82;4;Mar.79;4.Þub;4.Þub;30;Oca.71;Oca.66;Þub.29;2.Þub;19;-0.75;Þub.15;2.Haz;Oca.85;Oca.79;Oca.72;3.Aðu;May.24
N1;10.03.2019;Ajax;Fortuna Sittard;4;0;H;2;0;H;21;9;8;2;15;12;7;0;0;0;0;0;1.Þub;17;34;1.May;14.May;31;1.Nis;12;29;1.May;16.89;42.33;1.Þub;15;41;1.Nis;17;41;29;1.May;1.Nis;18;15.77;56;38.3;31;Oca.14;1.Ara;7;6.Aðu;18;-3.25;Oca.78;Oca.74;Þub.19;2.Ara;1.Nis;20.61;47.73
N1;10.03.2019;FC Emmen;Heracles Almelo;1;1;D;0;1;A;14;2;5;1;10;16;9;5;2;3;0;1;3.Þub;3.May;Þub.15;2.Eyl;3.May;Þub.25;Þub.95;3.Haz;Þub.15;Mar.17;Mar.77;Þub.22;3.Oca;3.Haz;Þub.15;3;Mar.75;2.Þub;33;Mar.35;3.Nis;3.Aðu;Mar.62;Þub.25;2.Þub;30;1.Haz;Oca.54;Þub.55;Þub.43;19;0.25;Oca.97;Oca.91;Oca.98;Oca.93;Þub.86;Mar.64;Þub.45
