Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
T1;1.10.2018;MKE Ankaragücü;Antalyaspor;0;1;A;0;1;A;14;11;3;6;10;18;5;8;2;5;0;0;2.Oca;3.Nis;3.Nis;2.May;3.Nis;3.Mar;Þub.15;Mar.35;3.Þub;Þub.22;3.May;Mar.32;2.Þub;3.Nis;Mar.25;Þub.15;3.Nis;3.Mar;36;Þub.28;Þub.16;3.Haz;Mar.37;3.Nis;Mar.22;33;1.Eyl;Oca.83;2.May;Oca.95;19;-0.25;Oca.92;Oca.87;2;Oca.95;Þub.24;Mar.36;Mar.49
T1;1.10.2018;Medipol Baþakþehir FK;Yeni Malatyaspor;1;1;D;0;1;A;14;11;6;3;11;9;12;2;2;2;0;0;Oca.33;May.25;8;Oca.35;Nis.75;8;Oca.35;4.Aðu;7.Haz;Oca.32;Nis.97;Eki.56;Oca.35;5;8.May;Oca.33;4.Aðu;9.May;36;1.Nis;Oca.34;May.25;4.Aðu;Eki.56;Aðu.74;30;Oca.85;Oca.79;2.Oca;Oca.98;20;-1.5;Þub.16;2.Tem;Oca.82;Oca.77;Oca.59;Mar.65;Tem.38
T1;5.10.2018;Kasimpaþa SK;Göztepe SK;3;1;H;1;0;H;19;12;5;5;16;9;6;5;1;0;0;0;Þub.25;3.Haz;2.Eyl;Þub.25;3.Mar;3;2.Þub;3.May;2.Eyl;Þub.31;Mar.66;3.Tem;2.Mar;3.Haz;Þub.88;2.Mar;3.Haz;Þub.88;37;Þub.37;Þub.25;Mar.72;Mar.52;Mar.21;Þub.97;33;Oca.66;1.Haz;Þub.45;Þub.28;18;-0.25;2.May;Oca.97;1.Eyl;Oca.85;2.Mar;Mar.55;Mar.17
T1;6.10.2018;Antalyaspor;Galatasaray SK;0;1;A;0;0;D;5;15;0;7;15;14;5;7;1;3;0;0;5;3.Aðu;Oca.66;4.May;3.Eyl;Oca.67;4.Þub;3.May;1.Aðu;4.Aðu;3.Aðu;Oca.75;Nis.33;3.Eyl;Oca.75;4.May;4;1.Tem;37;5;Nis.49;4.Oca;Mar.79;1.Aðu;Oca.72;33;1.Tem;Oca.63;Þub.35;Þub.22;18;1;1.Tem;Oca.62;Þub.45;Þub.27;Nis.72;Mar.72;Oca.81
T1;6.10.2018;Bursaspor;MKE Ankaragücü;1;0;H;1;0;H;13;7;5;2;19;11;10;5;1;0;0;0;2.Nis;3.Nis;3.Haz;Oca.91;3.Mar;3.Eyl;2.Oca;3.Þub;3.Nis;Oca.98;Mar.51;4.Oca;2;3.Nis;3.Aðu;Oca.95;3.Nis;3.Eyl;37;2.Oca;Oca.99;Mar.55;Mar.33;Nis.15;Mar.79;34;2.Þub;2.Kas;Oca.75;1.Tem;16;-0.5;2.Mar;Oca.98;1.Eyl;Oca.86;Þub.28;Mar.36;Mar.38
T1;6.10.2018;BB Erzurumspor;Alanyaspor;1;0;H;0;0;D;13;6;4;1;10;15;6;5;2;2;0;0;2.Mar;Mar.25;3.Oca;2.Mar;Mar.25;Þub.95;2.Mar;3.Mar;2.Eyl;Þub.33;Mar.51;3.Eyl;2.Mar;3.May;2.Eyl;2.Mar;3.May;2.Eyl;37;2.Nis;Þub.28;Mar.55;Mar.37;Mar.15;Þub.98;34;1.Eyl;Oca.84;2.Þub;Oca.94;18;-0.25;2.Aðu;Oca.99;Oca.91;Oca.83;2.Aðu;Mar.78;Mar.49
T1;6.10.2018;Kayserispor;Çaykur Rizespor;2;2;D;0;1;A;14;6;4;2;11;14;5;6;1;3;1;1;Þub.14;3.Mar;3.Nis;2.Þub;3.Þub;3.Þub;2.Mar;3.Þub;3;Þub.17;Mar.56;Mar.44;Þub.15;3.May;Mar.25;2.Oca;3.Nis;3.Nis;37;2.Mar;Þub.16;Mar.56;Mar.35;Mar.51;Mar.27;34;2;Oca.95;Oca.93;Oca.83;17;-0.25;1.Eyl;Oca.85;2.May;Oca.97;2.Þub;Mar.55;Mar.38
T1;7.10.2018;Akhisar Belediyespor;Trabzonspor;1;3;A;0;2;A;11;10;4;4;15;16;5;5;1;3;0;0;3.Nis;3.Þub;2.Þub;3.Þub;3.Þub;2.Þub;3.Oca;3.Mar;2.Þub;3.Eyl;Mar.79;Þub.22;2.Eyl;3.Tem;Þub.25;3;3.Tem;2.Þub;36;3.Nis;3.Þub;3.Aðu;Mar.49;2.Mar;Þub.22;33;Oca.71;Oca.64;Þub.35;Þub.22;17;0;Þub.31;Þub.22;Oca.72;Oca.66;Mar.15;Mar.73;Þub.24
T1;7.10.2018;Fenerbahçe SK;Medipol Baþakþehir FK;0;0;D;0;0;D;16;9;4;3;15;16;7;6;5;4;0;0;Þub.37;3.Þub;3;Þub.25;3.Nis;2.Eyl;2.Nis;3.Þub;Þub.85;Þub.49;Mar.32;3;Þub.45;3.Mar;Þub.88;Þub.38;3.Nis;2.Eyl;36;2.May;Þub.39;3.Nis;Mar.28;3.Ara;Þub.91;34;2.May;Oca.94;1.Eyl;Oca.83;17;-0.25;Þub.13;2.Tem;Oca.84;Oca.77;Þub.53;Mar.28;3.Mar
T1;7.10.2018;Atiker Konyaspor;Beþiktaþ JK;2;2;D;1;0;H;15;7;5;4;18;10;9;4;6;7;0;1;5;3.Aðu;Oca.64;5;4;1.Haz;4.May;3.May;Oca.75;Nis.88;Mar.75;Oca.75;4.May;Mar.75;Oca.75;4.Haz;3.Aðu;Oca.73;36;5;4.Tem;4;3.Tem;1.Aðu;Oca.71;32;Oca.85;Oca.78;2.Oca;2;17;0.75;Oca.94;Oca.89;Oca.99;Oca.93;Mar.73;Mar.35;Þub.15
T1;7.10.2018;Yeni Malatyaspor;Sivasspor;4;4;D;1;3;A;23;12;8;5;13;13;5;3;3;4;0;1;2.Mar;3.Mar;3.Oca;Þub.25;3.Mar;3;2.Mar;3.Þub;3;Þub.39;Mar.27;3.Þub;Þub.35;3.Mar;3;2.Mar;3.Mar;3.Oca;36;2.Nis;Þub.31;3.Nis;Mar.26;Mar.25;3.Haz;35;Þub.15;2.May;Oca.81;Oca.74;17;-0.25;2.May;Oca.99;Oca.89;Oca.83;2.May;3.Mar;3.Haz
