Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HFKC;AFKC;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
B1;6.10.2018;KAS Eupen;Royal Antwerp FC;1;2;A;1;0;H;10;11;4;8;17;18;0;8;2;2;0;0;Mar.75;3.Nis;2;3.Haz;3.May;2.May;Mar.45;3.Mar;Oca.95;Mar.74;Mar.51;2.May;3.Nis;3.May;2.May;3.Haz;3.May;2;35;3.Aðu;Mar.56;3.Haz;Mar.43;2.Oca;2.Mar;31;2;Oca.92;Oca.93;Oca.86;16;0.25;Þub.16;2.Aðu;1.Aðu;Oca.76;Mar.92;Mar.68;Oca.97
B1;6.10.2018;Sporting Lokeren;KV Kortrijk;1;3;A;1;0;H;9;15;4;7;13;14;5;5;1;2;0;0;2.Tem;3.Nis;2.May;Þub.75;3.Nis;Þub.55;Þub.55;Mar.25;2.May;2.Tem;Mar.51;Þub.62;2.Haz;3.Nis;Þub.55;2.Haz;3.May;Þub.55;36;Þub.75;Þub.64;Mar.55;Mar.37;Þub.67;Þub.56;32;1.Eyl;Oca.81;2.Tem;Oca.97;17;0.25;Oca.72;Oca.67;Þub.28;Þub.21;Mar.13;Mar.82;Þub.22
B1;6.10.2018;Sint-Truidense VV;Royal Excel Mouscron;3;1;H;1;1;D;13;15;8;6;12;15;5;4;0;6;0;2;Oca.53;4.Þub;May.75;Oca.57;Nis.25;5.May;1.May;4.May;May.25;Oca.56;Nis.43;May.62;Oca.53;Nis.33;May.25;Oca.53;4.Mar;May.75;37;1.Haz;Oca.55;Nis.55;Nis.25;May.75;May.51;31;1.Tem;Oca.65;2.Mar;Þub.19;20;-1;Oca.98;Oca.93;Oca.95;Oca.89;Oca.68;Mar.96;May.25
B1;6.10.2018;Waasland-Beveren;KV Oostende;1;1;D;0;0;D;7;9;5;3;19;26;4;2;4;4;0;0;2.May;3.Nis;2.Tem;Þub.45;3.Nis;Þub.85;2.Mar;3.Nis;2.Tem;Þub.43;3.Haz;Þub.87;2.Nis;3.May;2.Tem;2.Nis;3.Haz;Þub.75;36;Þub.55;Þub.41;3.Tem;Mar.48;2.Eyl;Þub.77;33;Oca.78;Oca.73;Þub.17;2.Aðu;17;-0.25;Þub.16;2.Eyl;1.Aðu;Oca.75;Mar.32;3.Haz;Þub.21
B1;7.10.2018;KAA Gent;KRC Genk;1;5;A;1;3;A;10;13;5;8;11;16;4;13;4;0;1;0;2.Aðu;3.May;Þub.37;2.Aðu;3.Haz;2.Nis;Þub.75;3.Nis;Þub.25;Þub.97;Mar.53;2.Nis;Þub.75;3.Haz;Þub.35;Þub.75;3.Tem;Þub.38;35;3;Þub.84;3.Tem;3.May;Þub.43;Þub.35;30;Oca.65;Oca.61;Þub.35;Þub.25;17;0.25;Oca.85;Oca.79;2.Ara;2.Nis;Þub.95;Mar.49;Þub.46
B1;7.10.2018;Standard de Liège;Club Brugge KV;3;1;H;1;0;H;18;6;8;3;12;13;6;1;0;2;0;0;Þub.62;3.Mar;2.Haz;2.Tem;3.Nis;2.Haz;2.Haz;3.Mar;Þub.45;Þub.84;Mar.41;Þub.56;2.Tem;3.Nis;Þub.45;2.Tem;3.May;2.May;35;Þub.84;Þub.69;3.Haz;Mar.36;2.Haz;Þub.51;31;Oca.75;Oca.69;Þub.21;2.Ara;17;0.25;Oca.74;Oca.69;Þub.25;Þub.16;3;Mar.47;Þub.46
B1;7.10.2018;SV Zulte-Waregem;RSC Anderlecht;1;2;A;0;1;A;9;11;3;6;17;21;10;2;1;4;0;0;3.May;3.Haz;2;3.Mar;3.Tem;2.Oca;Mar.15;3.Haz;2;Mar.26;Mar.95;2.Eyl;3.Oca;3.Aðu;2.May;Mar.25;3.Aðu;2.May;35;3.May;Mar.24;4;Mar.73;2.Oca;2.May;30;Oca.56;Oca.53;Þub.55;Þub.42;17;0.25;2.Eyl;2.Þub;Oca.87;1.Aðu;Mar.27;Mar.89;Þub.14
B1;19.10.2018;Club Brugge KV;Waasland-Beveren;1;1;D;0;0;D;19;6;8;1;11;14;6;4;0;1;0;0;Oca.18;7.May;12;Oca.19;Tem.75;12.May;1.Þub;6.Aðu;11;1.Þub;Tem.47;Ara.79;Oca.18;7.May;11;Oca.18;7.May;13;37;Oca.23;Oca.19;Aðu.41;Tem.21;16.Þub;Ara.38;31;Oca.35;Oca.31;3.Haz;Mar.31;21;-2;Oca.98;Oca.88;2.Tem;Oca.95;Oca.17;Aðu.31;14.Oca
B1;20.10.2018;Royal Antwerp FC;Sporting Lokeren;2;1;H;1;0;H;17;5;9;2;18;21;9;2;3;4;0;1;Oca.36;4.May;9;1.Nis;Nis.75;Aðu.25;Oca.36;4.Haz;7.Haz;Oca.37;5.Oca;Aðu.29;Oca.38;5;7;Oca.36;Nis.75;8;37;Oca.41;Oca.37;5.Oca;Nis.72;9;8;36;1.Aðu;Oca.73;Þub.15;2.Tem;18;-1.25;Oca.96;Oca.88;2.Haz;Oca.95;Oca.35;May.14;Eyl.22
B1;20.10.2018;KRC Genk;KAS Eupen;2;1;H;1;0;H;26;9;10;4;9;15;13;5;1;4;0;0;Oca.16;7.May;13;Oca.18;Tem.25;15;1.Þub;6.Tem;11;1.Þub;Tem.13;Ara.74;Oca.17;7.May;12;Oca.18;7.May;13;38;Oca.23;Oca.19;8;7.Oca;15;Ara.34;32;Oca.35;Oca.31;Mar.65;Mar.36;21;-2;Oca.91;Oca.85;2.Tem;Oca.97;Oca.19;Tem.95;13.Þub
B1;20.10.2018;KV Kortrijk;Sint-Truidense VV;3;1;H;2;1;H;16;10;7;7;14;8;5;5;1;0;0;0;2.Nis;3.Haz;3.Mar;Þub.15;3.Tem;3.Þub;2.Oca;3.Haz;3.Oca;2.Ara;Mar.97;Mar.19;2.May;3.Aðu;3.Oca;2.Oca;3.Haz;Mar.25;38;2.Þub;2.Kas;Mar.97;Mar.67;Mar.35;Mar.16;37;1.Aðu;Oca.73;2.Þub;2.Aðu;20;-0.25;Oca.93;Oca.85;2.Haz;Oca.98;2.Oca;Mar.72;Mar.76
B1;20.10.2018;Royal Excel Mouscron;Standard de Liège;0;0;D;0;0;D;8;13;2;5;9;16;4;8;0;0;0;0;May.75;4.Þub;Oca.53;May.75;Nis.25;Oca.55;5.Þub;4;Oca.57;5.May;4.Þub;1.Haz;5;4.Þub;Oca.57;5.Nis;4.Þub;Oca.57;38;May.75;May.28;Nis.35;4.Kas;Oca.65;Oca.58;33;Oca.73;Oca.67;Þub.25;Þub.15;21;1;1.Eyl;Oca.83;2.May;Oca.98;May.81;Nis.56;Oca.55
B1;21.10.2018;RSC Anderlecht;KSV Cercle Brugge;4;2;H;2;0;H;12;7;7;4;17;23;7;4;2;4;0;0;Oca.36;5;7.May;Oca.42;4.Haz;Tem.75;Oca.38;Nis.85;6.Haz;1.Nis;May.15;Haz.98;Oca.38;5;7;1.Nis;5;7;36;Oca.45;1.Nis;May.25;Nis.92;Tem.75;Haz.93;33;Oca.55;1.May;2.Haz;2.May;18;-1.25;Oca.92;Oca.86;2.Mar;Oca.96;Oca.37;5.Nis;Tem.93
B1;21.10.2018;Sporting de Charleroi;SV Zulte-Waregem;3;2;H;1;0;H;11;9;8;4;10;10;2;6;2;3;0;0;Oca.83;3.May;4.Þub;Oca.95;3.Tem;3.Aðu;Oca.87;Mar.65;3.Tem;Oca.91;3.Eyl;Mar.85;Oca.88;Mar.75;3.Tem;Oca.87;3.Aðu;3.Aðu;35;Oca.96;1.Eyl;Mar.95;Mar.72;4.Þub;Mar.75;34;Oca.73;Oca.67;Þub.25;Þub.16;17;-0.75;Þub.25;Þub.15;Oca.75;1.Tem;Oca.95;Mar.77;Mar.91
B1;21.10.2018;KV Oostende;KAA Gent;0;4;A;0;2;A;8;14;4;11;18;18;5;4;4;1;0;0;3.Mar;3.May;2.Oca;3.Mar;3.May;Þub.15;3.Oca;Mar.45;Þub.15;Mar.14;Mar.67;Þub.24;3.Oca;3.May;Þub.15;Mar.25;3.May;Þub.15;34;3.Mar;Mar.14;3.Tem;Mar.49;Þub.25;Þub.17;34;Oca.77;Oca.71;2.Þub;2.Eyl;17;0.25;2.Oca;Oca.94;Oca.95;Oca.89;Mar.37;Mar.76;Þub.13
B1;26.10.2018;KAA Gent;Sporting de Charleroi;2;1;H;1;1;D;12;6;6;4;16;23;7;2;2;4;0;0;Oca.66;3.Aðu;5;Oca.67;4;5;Oca.65;3.Aðu;Nis.75;Oca.71;Mar.99;Nis.96;1.Tem;3.Eyl;4.May;1.Tem;3.Aðu;Nis.75;37;Oca.75;Oca.69;4.May;Mar.85;5;Nis.76;35;Oca.84;Oca.78;Þub.13;2.Oca;19;-1;Þub.35;Þub.23;Oca.75;Oca.66;Oca.89;Mar.62;Nis.36
B1;27.10.2018;KSV Cercle Brugge;KV Kortrijk;1;1;D;0;1;A;7;14;2;8;17;12;6;10;1;1;0;0;2.Tem;3.Nis;2.May;Þub.75;3.Tem;2.Nis;Þub.65;3.Nis;Þub.45;Þub.77;Mar.57;Þub.53;2.Tem;3.Nis;Þub.45;Þub.75;3.May;Þub.45;37;Þub.84;Þub.71;3.Tem;Mar.45;2.Haz;Þub.47;35;Oca.81;Oca.74;Þub.17;2.May;18;0.25;Oca.76;Oca.71;Þub.23;Þub.15;3.May;Mar.59;Þub.35
B1;27.10.2018;Sporting Lokeren;KV Oostende;0;0;D;0;0;D;9;16;3;10;16;12;3;7;1;1;0;0;3;3.Nis;2.Mar;3.Oca;3.Nis;2.Mar;Þub.85;3.Nis;Þub.25;Þub.96;Mar.59;Þub.38;2.Aðu;3.May;Þub.35;2.Eyl;3.Haz;2.Mar;36;3.Oca;Þub.95;Mar.65;Mar.46;2.Nis;2.Mar;35;1.Aðu;Oca.75;Þub.15;2.May;16;0.25;Oca.87;Oca.82;2.Haz;2.Oca;Þub.89;Mar.73;2.Nis
