Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
F1;18.08.2018;Stade Rennais FC;Angers SCO;1;0;H;0;0;D;5;7;2;0;8;11;3;0;1;2;0;0;1.Eyl;3.Mar;4.May;Oca.87;3.Nis;4.Haz;Oca.85;3.Nis;4.May;Oca.89;Mar.47;Nis.75;Oca.91;3.May;4;1.Eyl;3.Nis;4.Haz;42;Oca.99;Oca.89;Mar.51;Mar.34;Nis.75;Nis.41;37;Þub.39;Þub.31;Oca.66;Oca.59;19;-0.75;Þub.28;Þub.19;Oca.75;1.Tem;Oca.92;3.May;Nis.56
F1;19.08.2018;Nîmes Olympique;Olympique de Marseille;3;1;H;1;0;H;14;10;7;5;11;11;6;7;3;1;0;0;Nis.75;3.Aðu;Oca.72;4.Haz;3.Aðu;Oca.75;4.Eyl;3.Aðu;1.Tem;Nis.54;4.Kas;Oca.78;4.Þub;3.Eyl;Oca.75;4.Haz;3.Eyl;Oca.75;42;4.Eyl;Nis.37;4.Þub;Mar.88;Oca.84;Oca.75;37;Oca.68;Oca.63;Þub.35;Þub.25;20;0.75;Oca.93;Oca.89;2.Þub;Oca.96;5.Þub;4.Eyl;Oca.72
F1;19.08.2018;RC Strasbourg Alsace;AS Saint-Étienne;1;1;D;0;0;D;11;9;5;2;11;7;7;2;1;2;0;1;2.Haz;3.Þub;2.Aðu;2.Tem;3.Mar;Þub.65;Þub.85;3.Oca;2.Haz;Þub.76;3.Mar;Þub.77;Þub.62;Mar.25;2.Tem;2.Tem;3.Þub;2.Aðu;41;Þub.85;Þub.68;3.Nis;3.Þub;Þub.83;2.Tem;37;Þub.22;Þub.16;Oca.75;Oca.68;20;0;2;Oca.91;2;Oca.93;Þub.72;3.Þub;Þub.89
F1;19.08.2018;Toulouse Football Club;FC Girondins de Bordeaux;2;1;H;1;0;H;13;15;5;8;10;11;1;2;1;1;0;0;2.Haz;3.Oca;2.Eyl;2.Haz;3.Oca;2.Eyl;2.May;3.Oca;3;Þub.61;Mar.19;3.Nis;2.May;3.Þub;Þub.88;2.Haz;3.Oca;3;42;2.Tem;Þub.57;Mar.28;3.Eyl;3.Oca;Þub.91;36;2.May;Þub.37;Oca.62;Oca.57;20;0;Oca.85;Oca.81;2.Kas;2.May;Þub.55;Mar.16;Mar.15
F1;24.08.2018;Olympique Lyonnais;RC Strasbourg Alsace;2;0;H;1;0;H;22;9;10;1;13;13;5;4;1;2;0;0;Oca.28;May.75;11;Oca.28;May.75;10.May;Oca.33;5.Mar;8.Aðu;Oca.29;Haz.14;Kas.25;Oca.29;5.May;9.May;Oca.25;6;12;40;Oca.33;Oca.28;6.May;5.Aðu;12;Eki.41;36;Oca.56;Oca.52;Þub.64;Þub.49;21;-1.75;Þub.13;2.Mar;Oca.88;Oca.83;Oca.39;5.Eyl;9.Haz
F1;25.08.2018;Amiens SC;Stade de Reims;4;1;H;1;0;H;14;7;8;3;18;17;4;2;1;1;0;1;2.Haz;Mar.25;2.Aðu;2.Tem;3;Þub.85;2.Haz;3.May;2.Eyl;Þub.74;Mar.16;Þub.91;Þub.62;3.Oca;2.Aðu;2.Tem;3.Oca;2.Eyl;42;Þub.85;Þub.67;Mar.25;3.Tem;Þub.94;Þub.83;37;Þub.58;Þub.46;Oca.59;Oca.53;21;0;Oca.91;Oca.86;2.Nis;Oca.98;Þub.88;Mar.15;Þub.76
F1;25.08.2018;Montpellier HSC;AS Saint-Étienne;0;0;D;0;0;D;14;9;1;2;12;14;6;3;3;0;0;0;2.Nis;3.Oca;3.Þub;2.Nis;3.Oca;3.Þub;2.Nis;Mar.15;3.Oca;Þub.48;Mar.17;Mar.26;2.Nis;3.Oca;3.Oca;Þub.45;3.Oca;Mar.25;42;Þub.52;Þub.41;Mar.28;3.Eyl;Mar.27;Mar.16;37;Þub.55;Þub.41;Oca.61;Oca.55;20;-0.25;2.Kas;2.May;Oca.85;Oca.81;Þub.35;Mar.19;Mar.48
F1;25.08.2018;FC Nantes;Stade Malherbe Caen;1;1;D;0;1;A;16;3;3;2;16;16;3;1;2;3;0;1;Oca.95;Mar.25;Nis.33;Oca.95;3.Þub;4.May;2;Mar.25;4;Oca.98;Mar.31;Nis.58;Oca.95;Mar.25;4.Þub;Oca.95;Mar.25;4.Haz;42;2.May;Oca.95;3.Nis;Mar.23;4.Haz;Nis.37;37;Þub.57;Þub.46;Oca.59;Oca.53;19;-0.25;1.Tem;Oca.66;Þub.33;Þub.27;Þub.19;3.Mar;Nis.17
F1;25.08.2018;OGC Nice;Dijon FCO;0;4;A;0;0;D;16;9;3;5;11;19;5;3;2;3;0;0;1.Eyl;3.Nis;Nis.33;Oca.87;3.Haz;4.Þub;1.Eyl;3.Nis;4.Mar;Oca.88;Mar.65;Nis.56;Oca.91;3.May;4;1.Eyl;3.May;4.Nis;42;Oca.95;Oca.88;Mar.74;Mar.53;Nis.56;Nis.22;40;Oca.92;Oca.85;2.Mar;Oca.94;19;-0.75;Þub.19;2.Ara;Oca.78;Oca.74;2.Eyl;Mar.25;4.Þub
F1;25.08.2018;Paris Saint-Germain;Angers SCO;3;1;H;1;1;D;13;11;5;6;10;2;9;1;2;0;0;0;1.Tem;13;26;1.Aðu;11.May;29;1.Tem;12;27;1.Aðu;13.43;35.68;1.May;13;34;1.Haz;13;51;41;1.Eyl;1.Tem;14;11.Aðu;51;31.45;35;1.Mar;Oca.25;4.Oca;Mar.75;20;-2.75;1.Eyl;Oca.84;2.Tem;2.Þub;1.Kas;Kas.55;26.32
F1;25.08.2018;Toulouse Football Club;Nîmes Olympique;1;0;H;0;0;D;10;9;5;0;17;21;3;3;1;3;0;0;2.Mar;3.Þub;3.Mar;2.Mar;3.Mar;3.Þub;2.Þub;3.Þub;3.May;Þub.32;Mar.62;Mar.15;Þub.25;3.Haz;3;Þub.38;3.Nis;3.Oca;42;2.Nis;Þub.29;Mar.64;Mar.41;3.May;3.Kas;40;Oca.93;Oca.86;2.Mar;Oca.93;21;-0.25;2.Nis;Oca.99;Oca.91;Oca.87;Þub.59;Mar.48;Þub.85
F1;26.08.2018;FC Girondins de Bordeaux;AS Monaco;2;1;H;0;0;D;14;15;6;5;10;14;5;8;1;2;0;0;3.Oca;3.Mar;Þub.37;Þub.95;Mar.25;Þub.45;2.Eyl;3.Mar;Þub.45;Þub.99;Mar.55;Þub.45;Þub.88;3.Nis;Þub.38;3;3.Nis;Þub.45;42;3.Oca;Þub.93;Mar.58;Mar.36;Þub.48;2.Nis;39;2.Nis;Oca.96;Oca.92;Oca.83;20;0.25;Oca.84;Oca.79;2.Ara;2.Aðu;Þub.67;Mar.39;2.Aðu
F1;26.08.2018;LOSC Lille;En Avant de Guingamp;3;0;H;2;0;H;13;13;7;4;13;13;4;4;2;1;0;1;2;3.Nis;3.Eyl;Oca.95;3.Haz;3.Eyl;2.Oca;3.Mar;3.Haz;2.May;Mar.59;Mar.88;2.May;3.May;3.May;2.May;3.Nis;3.Eyl;42;Þub.14;2.Nis;Mar.62;Mar.43;3.Eyl;Mar.69;39;2.May;Oca.98;Oca.87;Oca.81;19;-0.25;Oca.82;Oca.77;Þub.16;2.Oca;Oca.96;Mar.65;Nis.14
F1;26.08.2018;Olympique de Marseille;Stade Rennais FC;2;2;D;0;2;A;8;7;3;2;16;15;8;4;1;1;0;0;1.May;Nis.33;6.May;1.May;Nis.33;6.May;1.May;4.Þub;6.Tem;1.May;Nis.85;Haz.44;Oca.44;Nis.75;6.May;Oca.45;4.Haz;7.May;42;Oca.54;Oca.48;Nis.89;4.May;7.May;Haz.31;37;Oca.73;Oca.67;Þub.27;Þub.17;23;-1;Oca.84;1.Aðu;2.Ara;2.Haz;1.May;4.Haz;Haz.99
