Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA;PSCH;PSCD;PSCA
I1;2.11.2018;Napoli;Empoli;5;1;H;2;0;H;19;8;13;4;8;7;0;7;0;2;0;0;1.Þub;7;15;Oca.22;Haz.75;12.May;1.Mar;5.May;9.Haz;Oca.22;Haz.84;14.77;Oca.22;6.May;12;1.Þub;7;17;38;1.Mar;Oca.22;Tem.45;Haz.58;17;13.Mar;33;Oca.54;Oca.49;Þub.81;Þub.56;20;-1.75;Oca.93;Oca.87;2.May;2;Oca.22;Haz.86;14.62
I1;3.11.2018;Fiorentina;Roma;1;1;D;1;0;H;11;11;3;6;9;20;3;6;3;3;0;0;2.Tem;3.Nis;2.Haz;Þub.65;3.Mar;2.Tem;2.Tem;3.Mar;2.Haz;Þub.65;Mar.62;Þub.69;2.Haz;3.May;Þub.62;2.Tem;3.Nis;2.Tem;37;Þub.77;Þub.64;Mar.65;Mar.47;2.Tem;Þub.63;35;Oca.77;Oca.71;Þub.22;2.Kas;19;0;2;Oca.93;Oca.98;Oca.92;Þub.77;Mar.54;Þub.62
I1;3.11.2018;Inter;Genoa;5;0;H;2;0;H;17;8;10;3;7;15;11;6;2;3;0;0;Oca.36;5;9;Oca.36;May.25;Aðu.25;Oca.45;4.May;7.Oca;Oca.37;5.Ara;Eyl.13;Oca.38;5;8;Oca.36;5;10;38;Oca.45;Oca.37;May.25;Nis.96;10;Aðu.41;36;Oca.71;Oca.66;2.Mar;Þub.21;21;-1;Oca.67;Oca.58;Þub.52;Þub.43;1.Nis;Nis.58;Eyl.78
I1;3.11.2018;Juventus;Cagliari;3;1;H;2;1;H;11;4;5;3;10;15;5;4;1;3;0;0;Oca.16;7.May;17;Oca.16;Tem.75;18;Oca.17;7.May;15;Oca.17;Tem.56;20.May;Oca.18;7;15;Oca.17;7.May;21;38;1.Þub;Oca.17;8;Tem.35;22;17.81;32;Oca.57;Oca.51;Þub.63;Þub.51;20;-2;2.Oca;Oca.94;2;Oca.92;Oca.16;8.May;20.94
I1;4.11.2018;Bologna;Atalanta;1;2;A;1;0;H;9;12;5;6;7;12;1;4;1;2;0;0;5;3.Tem;Oca.72;Nis.75;3.Tem;Oca.75;Nis.85;3.Aðu;1.Tem;Nis.87;Mar.97;Oca.75;Nis.75;3.Tem;Oca.75;May.25;3.Tem;Oca.73;37;May.25;Nis.79;Mar.97;Mar.75;1.Aðu;Oca.74;35;Oca.98;1.Eyl;Oca.96;Oca.88;20;1;1.Tem;Oca.61;Þub.45;Þub.36;May.49;Mar.82;Oca.71
I1;4.11.2018;Chievo Verona;Sassuolo;0;2;A;0;1;A;1;8;1;4;20;16;3;2;5;2;1;0;3.Haz;3.Nis;2.Oca;3.Haz;3.Nis;2.Oca;3.Haz;Mar.35;2.Oca;Mar.68;Mar.45;Þub.15;3.May;3.Nis;Þub.15;Mar.75;Mar.25;Þub.15;38;3.Aðu;Mar.61;3.May;Mar.38;2.Þub;2.Oca;36;2.Kas;2.Þub;Oca.86;Oca.78;19;0.25;2.Oca;2.May;Oca.86;Oca.82;Mar.89;3.Nis;2.Oca
I1;4.11.2018;Lazio;Spal;4;1;H;2;1;H;18;5;11;3;7;8;8;4;1;3;0;0;Oca.33;May.25;10;Oca.34;May.25;9;Oca.35;5.Þub;8.Aðu;Oca.35;May.23;10.Tem;Oca.35;5;9;Oca.33;May.25;11;38;Oca.36;Oca.33;5.May;May.15;11.May;Eyl.61;36;Oca.67;Oca.63;Þub.39;Þub.26;20;-1.5;2.Þub;Oca.98;Oca.95;Oca.89;Oca.37;Nis.91;10.Nis
I1;4.11.2018;Parma;Frosinone;0;0;D;0;0;D;9;9;1;1;14;15;3;7;1;4;1;0;Oca.95;3.May;4;Oca.91;3.Mar;4.Nis;Oca.95;Mar.45;4.Oca;Oca.97;Mar.37;Nis.48;Oca.95;3.Mar;4.Þub;Oca.95;3.Nis;Nis.33;38;2;Oca.94;Mar.55;Mar.37;Nis.55;Nis.21;36;2.May;Oca.96;1.Eyl;Oca.83;19;-1;Þub.95;Þub.82;1.May;Oca.44;Þub.13;Mar.44;Mar.76
I1;4.11.2018;Sampdoria;Torino;1;4;A;0;2;A;10;15;4;8;13;25;0;2;2;2;0;0;2.Tem;3.Þub;2.Tem;2.Haz;Mar.25;2.Aðu;Þub.65;Mar.25;2.Tem;Þub.71;Mar.37;Þub.79;2.Tem;Mar.25;2.Tem;Þub.75;Mar.13;2.Aðu;38;Þub.75;Þub.66;Mar.37;Mar.24;2.Eyl;Þub.75;36;Þub.15;2.Haz;Oca.81;Oca.75;19;0;Oca.95;Oca.91;2.Mar;Oca.95;Þub.99;Mar.15;Þub.68
I1;4.11.2018;Udinese;Milan;0;1;A;0;0;D;11;15;4;9;11;13;4;7;3;3;1;0;4.Þub;3.May;1.Eyl;4.Oca;3.Haz;1.Eyl;4.Oca;3.Haz;1.Eyl;Nis.15;Mar.74;Oca.93;4;3.Haz;Oca.91;Nis.33;3.May;Oca.91;38;Nis.33;4.Aðu;Mar.75;Mar.58;Oca.95;Oca.91;36;2.Þub;Oca.95;Oca.93;Oca.84;18;0.75;Oca.75;Oca.71;Þub.26;2.Þub;4.Tem;Mar.31;Oca.95
